,Time,Time_raw,SR,WT,SL,DL,interporated GSI_Female,interporated GSI_Male
272,272.0,2016-06-29,4.2700000000000000,22.250000000000000,0.0,14.483333333333300,6.110811483058160,0.7444002450056590
273,273.0,2016-06-30,13.510000000000000,24.941666666666700,1.4,14.466666666666700,6.548936959402620,0.7716526808873360
274,274.0,2016-07-01,26.910000000000000,28.225000000000000,11.7,14.466666666666700,6.998873278808050,0.7996235624581270
275,275.0,2016-07-02,24.300000000000000,29.408333333333300,11.6,14.466666666666700,7.449787167413050,0.8276254771302030
276,276.0,2016-07-03,14.91,27.779166666666700,4.0,14.45,7.890845351356290,0.8549710123157410
277,277.0,2016-07-04,19.800000000000000,27.675000000000000,9.1,14.45,8.311214556776380,0.8809727554269140
278,278.0,2016-07-05,23.98,27.65833333333330,12.2,14.433333333333300,8.700061509811970,0.9049432938758960
279,279.0,2016-07-06,13.880000000000000,26.825,5.6,14.433333333333300,9.046552936601700,0.926195215074861
280,280.0,2016-07-07,28.3,28.59583333333330,12.3,14.4,9.33985556328419,0.9440411064359840
281,281.0,2016-07-08,8.26,26.695833333333300,0.0,14.383333333333300,9.56913611599809,0.9577935553714400
282,282.0,2016-07-09,4.330000000000000,22.762500000000000,0.0,14.383333333333300,9.726442994977760,0.9669655626223070
283,283.0,2016-07-10,24.640000000000000,26.841666666666700,7.7,14.366666666666700,9.815351296840450,0.9718717822452910
284,284.0,2016-07-11,29.54,27.975000000000000,12.2,14.35,9.84231779229914,0.9730272816260030
285,285.0,2016-07-12,10.820000000000000,26.450000000000000,0.0,14.333333333333300,9.813799252066820,0.9709471281500520
286,286.0,2016-07-13,8.81,27.575,0.5,14.316666666666700,9.736252446856480,0.9661463892030500
287,287.0,2016-07-14,25.33,27.541666666666700,8.8,14.3,9.616134147381080,0.9591401321706060
288,288.0,2016-07-15,17.48,24.729166666666700,5.4,14.283333333333300,9.459901124353610,0.9504434244383320
289,289.0,2016-07-16,11.11,25.275000000000000,4.0,14.266666666666700,9.274010148487060,0.9405713333918380
290,290.0,2016-07-17,11.170000000000000,26.525000000000000,0.4,14.25,9.064917990494410,0.9300389264167340
291,291.0,2016-07-18,28.52,27.3625,13.2,14.216666666666700,8.839081421088640,0.9193612708986310
292,292.0,2016-07-19,28.680000000000000,28.066666666666700,13.0,14.216666666666700,8.602957210982720,0.9090534342231390
293,293.0,2016-07-20,27.85,28.29166666666670,12.6,14.183333333333300,8.36300213088965,0.8996304837758690
294,294.0,2016-07-21,20.57,27.816666666666700,9.8,14.15,8.1256729515224,0.8916074869424320
295,295.0,2016-07-22,14.35,25.904166666666700,4.2,14.15,7.896533255787270,0.8853938759857780
296,296.0,2016-07-23,12.92,24.75416666666670,1.0,14.116666666666700,7.677573875363800,0.8809765426782180
297,297.0,2016-07-24,15.720000000000000,25.541666666666700,4.0,14.083333333333300,7.469892454124830,0.8782367436694060
298,298.0,2016-07-25,20.66,26.179166666666700,6.7,14.066666666666700,7.274586635943220,0.8770557356089910
299,299.0,2016-07-26,1.9700000000000000,22.616666666666700,0.0,14.05,7.092754064691810,0.8773147751466280
300,300.0,2016-07-27,11.0,24.620833333333300,2.4,14.016666666666700,6.92549238424347,0.8788951189319660
301,301.0,2016-07-28,14.85,27.075,6.5,13.983333333333300,6.773899238471040,0.8816780236146580
302,302.0,2016-07-29,18.480000000000000,26.4625,6.1,13.983333333333300,6.639072271247360,0.8855447458443570
